StudentID,StudentName,participation,type
0,0403_0,2,Ground Truth
0,0306_5,1,Ground Truth
0,0227_9,1,Ground Truth
0,0410_3,1,Ground Truth
0,0403_2,2,Ground Truth
0,0424_12,8,Ground Truth
0,0410_5,5,Ground Truth
0,0227_6,4,Ground Truth
0,0403_3,1,Ground Truth
0,0424_5,1,Ground Truth
0,0306_9,8,Ground Truth
0,0227_0,1,Ground Truth
0,0424_6,2,Ground Truth
1,0306_10,5,Ground Truth
1,0403_1,5,Ground Truth
1,0424_4,2,Ground Truth
1,0227_2,7,Ground Truth
2,0424_1,2,Ground Truth
2,0410_4,1,Ground Truth
2,0306_1,1,Ground Truth
2,0227_3,1,Ground Truth
4,0227_8,2,Ground Truth
4,0306_2,6,Ground Truth
5,0403_0,2,Ground Truth
5,0306_5,1,Ground Truth
5,0227_9,1,Ground Truth
6,0410_3,1,Ground Truth
6,0403_2,2,Ground Truth
6,0227_6,4,Ground Truth
7,0227_1,1,Ground Truth
7,0410_2,2,Ground Truth
7,0424_0,3,Ground Truth
8,0227_10,2,Ground Truth
8,0410_10,4,Ground Truth
8,0424_8,5,Ground Truth
9,0424_7,2,Ground Truth
9,0410_1,3,Ground Truth
9,0227_11,2,Ground Truth
10,0410_0,9,Ground Truth
0,0227_1,1,Prediction
0,0403_3,1,Prediction
0,0424_5,1,Prediction
0,0306_9,8,Prediction
0,0227_0,1,Prediction
1,0410_4,1,Prediction
1,0424_1,2,Prediction
1,0306_1,1,Prediction
1,0227_3,1,Prediction
2,0227_8,2,Prediction
2,0306_2,6,Prediction
3,0410_3,1,Prediction
3,0403_2,2,Prediction
3,0227_6,4,Prediction
4,0410_5,5,Prediction
4,0306_5,1,Prediction
4,0227_9,1,Prediction
5,0227_10,2,Prediction
5,0410_10,4,Prediction
5,0424_8,5,Prediction
6,0424_7,2,Prediction
6,0410_1,3,Prediction
6,0227_11,2,Prediction
7,0306_10,5,Prediction
7,0424_4,2,Prediction
8,0410_2,2,Prediction
8,0424_0,3,Prediction
