,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
0,10,0,0,1,1,1.0
1,10,0,5,1,1,1.0
2,10,0,10,1,1,1.0
3,10,0,15,1,1,1.0
4,10,0,20,1,1,1.0
5,10,0,25,1,1,1.0
6,10,0,30,1,1,1.0
7,10,0,35,1,1,1.0
8,10,0,40,1,1,1.0
9,10,0,45,1,1,1.0
10,10,0,50,1,1,1.0
11,10,0,55,1,1,1.0
12,10,0,60,1,1,1.0
13,10,0,65,1,1,1.0
14,10,0,70,1,1,1.0
15,10,0,75,1,1,1.0
16,10,0,80,1,1,1.0
17,10,0,85,1,1,1.0
18,10,0,90,1,1,1.0
19,10,0,95,1,1,1.0
20,10,5,0,1,1,1.0
21,10,5,5,1,1,1.0
22,10,5,10,1,1,1.0
23,10,5,15,1,1,1.0
24,10,5,20,1,1,1.0
25,10,5,25,1,1,1.0
26,10,5,30,1,1,1.0
27,10,5,35,1,1,1.0
28,10,5,40,1,1,1.0
29,10,5,45,1,1,1.0
30,10,5,50,1,1,1.0
31,10,5,55,1,1,1.0
32,10,5,60,1,1,1.0
33,10,5,65,1,1,1.0
34,10,5,70,1,1,1.0
35,10,5,75,1,1,1.0
36,10,5,80,1,1,1.0
37,10,5,85,1,1,1.0
38,10,5,90,1,1,1.0
39,10,5,95,1,1,1.0
40,10,10,0,1,1,1.0
41,10,10,5,1,1,1.0
42,10,10,10,1,1,1.0
43,10,10,15,1,1,1.0
44,10,10,20,1,1,1.0
45,10,10,25,1,1,1.0
46,10,10,30,1,1,1.0
47,10,10,35,1,1,1.0
48,10,10,40,1,1,1.0
49,10,10,45,1,1,1.0
50,10,10,50,1,1,1.0
51,10,10,55,1,1,1.0
52,10,10,60,1,1,1.0
53,10,10,65,1,1,1.0
54,10,10,70,1,1,1.0
55,10,10,75,1,1,1.0
56,10,10,80,1,1,1.0
57,10,10,85,1,1,1.0
58,10,10,90,1,1,1.0
59,10,10,95,1,1,1.0
60,15,0,0,15,27,0.5555555555555556
