StudentID,StudentName,participation,type
0,0424_1,1,Ground Truth
0,0501_5,1,Ground Truth
0,0320_2,1,Ground Truth
0,0417_3,4,Ground Truth
1,0417_13,1,Ground Truth
1,0410_2,14,Ground Truth
1,0501_2,2,Ground Truth
2,0501_6,2,Ground Truth
2,0410_4,5,Ground Truth
2,0417_2,3,Ground Truth
2,0424_11,13,Ground Truth
3,0501_13,1,Ground Truth
3,0424_6,1,Ground Truth
3,0417_1,2,Ground Truth
3,0410_6,2,Ground Truth
4,0320_9,1,Ground Truth
4,0410_7,2,Ground Truth
4,0417_5,2,Ground Truth
4,0501_7,1,Ground Truth
4,0424_9,4,Ground Truth
5,0424_5,7,Ground Truth
5,0410_13,3,Ground Truth
5,0501_11,6,Ground Truth
6,0410_1,1,Ground Truth
7,0410_3,2,Ground Truth
7,0320_0,3,Ground Truth
8,0424_2,2,Ground Truth
8,0417_8,10,Ground Truth
9,0417_6,4,Ground Truth
10,0417_7,6,Ground Truth
10,0501_4,8,Ground Truth
11,0501_3,1,Ground Truth
11,0417_0,1,Ground Truth
11,0320_10,1,Ground Truth
12,0417_4,4,Ground Truth
12,0320_5,2,Ground Truth
0,0424_1,1,Prediction
0,0320_9,1,Prediction
0,0501_3,1,Prediction
0,0501_5,1,Prediction
0,0320_2,1,Prediction
0,0417_3,4,Prediction
1,0417_13,1,Prediction
1,0410_2,14,Prediction
1,0501_2,2,Prediction
2,0501_6,2,Prediction
2,0410_4,5,Prediction
2,0417_2,3,Prediction
2,0424_11,13,Prediction
3,0417_1,2,Prediction
3,0410_6,2,Prediction
4,0410_13,3,Prediction
5,0424_2,2,Prediction
5,0417_8,10,Prediction
6,0501_3,1,Prediction
6,0417_0,1,Prediction
7,0501_13,1,Prediction
7,0424_6,1,Prediction
7,0410_7,2,Prediction
8,0424_9,4,Prediction
8,0320_9,1,Prediction
