StudentID,time,session
0,10,classinsight-cmu_05748A_ghc_4101_201902051630
1,9,classinsight-cmu_05748A_ghc_4101_201902051630
0,17,classinsight-cmu_05748A_ghc_4101_201902141630
1,11,classinsight-cmu_05748A_ghc_4101_201902141630
0,14,classinsight-cmu_05748A_ghc_4101_201902281630
1,7,classinsight-cmu_05748A_ghc_4101_201902281630
0,11,classinsight-cmu_05748A_ghc_4101_201903071630
1,19,classinsight-cmu_05748A_ghc_4101_201903071630
0,6,classinsight-cmu_05748A_ghc_4101_201904021630
1,8,classinsight-cmu_05748A_ghc_4101_201904021630
