sessionA,sessionB,idA,idB,gt,pred
0227,0306,0227_0,0306_9,1.0,0.0
0227,0306,0227_2,0306_10,1.0,0.0
0227,0306,0227_3,0306_1,1.0,1.0
0227,0306,0227_7,0306_0,1.0,0.0
0227,0306,0227_8,0306_2,1.0,0.0
0227,0306,0227_9,0306_5,1.0,0.0
0227,0403,0227_0,0403_3,1.0,0.0
0227,0403,0227_2,0403_1,1.0,0.0
0227,0403,0227_3,0403_9,1.0,0.0
0227,0403,0227_6,0403_2,1.0,1.0
0227,0403,0227_9,0403_0,1.0,0.0
0227,0410,0227_0,0410_7,1.0,0.0
0227,0410,0227_0,0410_5,1.0,0.0
0227,0410,0227_1,0410_2,1.0,0.0
0227,0410,0227_3,0410_4,1.0,1.0
0227,0410,0227_6,0410_3,1.0,1.0
0227,0410,0227_6,0410_7,1.0,0.0
0227,0410,0227_9,0410_5,1.0,0.0
0227,0410,0227_10,0410_10,1.0,1.0
0227,0410,0227_11,0410_1,1.0,1.0
0227,0424,0227_0,0424_5,1.0,0.0
0227,0424,0227_1,0424_0,1.0,0.0
0227,0424,0227_2,0424_4,1.0,1.0
0227,0424,0227_3,0424_1,1.0,1.0
0227,0424,0227_6,0424_6,1.0,0.0
0227,0424,0227_8,0424_9,1.0,0.0
0227,0424,0227_9,0424_12,1.0,0.0
0227,0424,0227_10,0424_8,1.0,1.0
0227,0424,0227_11,0424_7,1.0,0.0
0306,0403,0306_9,0403_3,1.0,0.0
0306,0403,0306_10,0403_1,1.0,0.0
0306,0403,0306_1,0403_9,1.0,0.0
0306,0403,0306_5,0403_0,1.0,0.0
0306,0410,0306_9,0410_7,1.0,1.0
0306,0410,0306_9,0410_5,1.0,0.0
0306,0410,0306_1,0410_4,1.0,0.0
0306,0410,0306_5,0410_5,1.0,0.0
0306,0424,0306_9,0424_5,1.0,1.0
0306,0424,0306_10,0424_4,1.0,0.0
0306,0424,0306_1,0424_1,1.0,0.0
0306,0424,0306_2,0424_9,1.0,1.0
0306,0424,0306_5,0424_12,1.0,0.0
0403,0410,0403_3,0410_7,1.0,0.0
0403,0410,0403_3,0410_5,1.0,0.0
0403,0410,0403_9,0410_4,1.0,0.0
0403,0410,0403_2,0410_3,1.0,0.0
0403,0410,0403_2,0410_7,1.0,0.0
0403,0410,0403_0,0410_5,1.0,0.0
0403,0410,0403_10,0410_0,1.0,0.0
0403,0424,0403_3,0424_5,1.0,0.0
0403,0424,0403_1,0424_4,1.0,0.0
0403,0424,0403_9,0424_1,1.0,0.0
0403,0424,0403_2,0424_6,1.0,0.0
0403,0424,0403_0,0424_12,1.0,0.0
0410,0424,0410_7,0424_5,1.0,0.0
0410,0424,0410_5,0424_5,1.0,0.0
0410,0424,0410_2,0424_0,1.0,0.0
0410,0424,0410_4,0424_1,1.0,0.0
0410,0424,0410_3,0424_6,1.0,0.0
0410,0424,0410_7,0424_6,1.0,0.0
0410,0424,0410_5,0424_12,1.0,0.0
0410,0424,0410_10,0424_8,1.0,1.0
0410,0424,0410_1,0424_7,1.0,1.0
,,0227_1,0306_9,0.0,1.0
,,0227_1,0403_3,0.0,1.0
,,0227_8,0403_9,0.0,1.0
,,0227_0,0403_0,0.0,1.0
,,0227_1,0424_5,0.0,1.0
,,0306_5,0403_2,0.0,1.0
,,0306_10,0403_10,0.0,1.0
,,0306_2,0410_1,0.0,1.0
,,0306_4,0410_10,0.0,1.0
,,0306_5,0424_1,0.0,1.0
,,0403_9,0410_1,0.0,1.0
