StudentID,time,session
0,7,classinsight-cmu_05748A_ghc_4101_201902141630
1,11,classinsight-cmu_05748A_ghc_4101_201902141630
2,17,classinsight-cmu_05748A_ghc_4101_201902141630
3,7,classinsight-cmu_05748A_ghc_4101_201902141630
4,9,classinsight-cmu_05748A_ghc_4101_201902141630
5,16,classinsight-cmu_05748A_ghc_4101_201902141630
6,32,classinsight-cmu_05748A_ghc_4101_201902141630
7,2,classinsight-cmu_05748A_ghc_4101_201902141630
8,5,classinsight-cmu_05748A_ghc_4101_201902141630
9,17,classinsight-cmu_05748A_ghc_4101_201902141630
10,2,classinsight-cmu_05748A_ghc_4101_201902141630
11,3,classinsight-cmu_05748A_ghc_4101_201902141630
12,6,classinsight-cmu_05748A_ghc_4101_201902141630
13,1,classinsight-cmu_05748A_ghc_4101_201902141630
14,11,classinsight-cmu_05748A_ghc_4101_201902141630
15,4,classinsight-cmu_05748A_ghc_4101_201902141630
16,6,classinsight-cmu_05748A_ghc_4101_201902141630
17,11,classinsight-cmu_05748A_ghc_4101_201902141630
18,2,classinsight-cmu_05748A_ghc_4101_201902141630
0,8,classinsight-cmu_05748A_ghc_4101_201904021630
2,3,classinsight-cmu_05748A_ghc_4101_201904021630
3,6,classinsight-cmu_05748A_ghc_4101_201904021630
4,4,classinsight-cmu_05748A_ghc_4101_201904021630
5,3,classinsight-cmu_05748A_ghc_4101_201904021630
6,2,classinsight-cmu_05748A_ghc_4101_201904021630
7,1,classinsight-cmu_05748A_ghc_4101_201904021630
8,20,classinsight-cmu_05748A_ghc_4101_201904021630
9,18,classinsight-cmu_05748A_ghc_4101_201904021630
10,1,classinsight-cmu_05748A_ghc_4101_201904021630
11,8,classinsight-cmu_05748A_ghc_4101_201904021630
12,6,classinsight-cmu_05748A_ghc_4101_201904021630
13,26,classinsight-cmu_05748A_ghc_4101_201904021630
14,14,classinsight-cmu_05748A_ghc_4101_201904021630
15,6,classinsight-cmu_05748A_ghc_4101_201904021630
16,7,classinsight-cmu_05748A_ghc_4101_201904021630
18,5,classinsight-cmu_05748A_ghc_4101_201904021630
19,3,classinsight-cmu_05748A_ghc_4101_201904021630
0,1,classinsight-cmu_05748A_ghc_4101_201902051630
1,1,classinsight-cmu_05748A_ghc_4101_201902051630
2,5,classinsight-cmu_05748A_ghc_4101_201902051630
4,4,classinsight-cmu_05748A_ghc_4101_201902051630
5,1,classinsight-cmu_05748A_ghc_4101_201902051630
6,1,classinsight-cmu_05748A_ghc_4101_201902051630
7,1,classinsight-cmu_05748A_ghc_4101_201902051630
8,10,classinsight-cmu_05748A_ghc_4101_201902051630
9,4,classinsight-cmu_05748A_ghc_4101_201902051630
10,9,classinsight-cmu_05748A_ghc_4101_201902051630
11,10,classinsight-cmu_05748A_ghc_4101_201902051630
12,1,classinsight-cmu_05748A_ghc_4101_201902051630
13,12,classinsight-cmu_05748A_ghc_4101_201902051630
14,3,classinsight-cmu_05748A_ghc_4101_201902051630
15,10,classinsight-cmu_05748A_ghc_4101_201902051630
16,14,classinsight-cmu_05748A_ghc_4101_201902051630
17,4,classinsight-cmu_05748A_ghc_4101_201902051630
0,11,classinsight-cmu_05748A_ghc_4101_201902281630
1,14,classinsight-cmu_05748A_ghc_4101_201902281630
2,7,classinsight-cmu_05748A_ghc_4101_201902281630
3,3,classinsight-cmu_05748A_ghc_4101_201902281630
4,1,classinsight-cmu_05748A_ghc_4101_201902281630
5,13,classinsight-cmu_05748A_ghc_4101_201902281630
6,29,classinsight-cmu_05748A_ghc_4101_201902281630
7,4,classinsight-cmu_05748A_ghc_4101_201902281630
8,1,classinsight-cmu_05748A_ghc_4101_201902281630
9,8,classinsight-cmu_05748A_ghc_4101_201902281630
11,4,classinsight-cmu_05748A_ghc_4101_201902281630
12,4,classinsight-cmu_05748A_ghc_4101_201902281630
13,7,classinsight-cmu_05748A_ghc_4101_201902281630
14,6,classinsight-cmu_05748A_ghc_4101_201902281630
15,1,classinsight-cmu_05748A_ghc_4101_201902281630
16,5,classinsight-cmu_05748A_ghc_4101_201902281630
17,3,classinsight-cmu_05748A_ghc_4101_201902281630
19,6,classinsight-cmu_05748A_ghc_4101_201902281630
20,1,classinsight-cmu_05748A_ghc_4101_201902281630
0,2,classinsight-cmu_05748A_ghc_4101_201903071630
1,15,classinsight-cmu_05748A_ghc_4101_201903071630
2,7,classinsight-cmu_05748A_ghc_4101_201903071630
3,11,classinsight-cmu_05748A_ghc_4101_201903071630
4,19,classinsight-cmu_05748A_ghc_4101_201903071630
5,4,classinsight-cmu_05748A_ghc_4101_201903071630
6,1,classinsight-cmu_05748A_ghc_4101_201903071630
7,3,classinsight-cmu_05748A_ghc_4101_201903071630
8,3,classinsight-cmu_05748A_ghc_4101_201903071630
9,3,classinsight-cmu_05748A_ghc_4101_201903071630
11,8,classinsight-cmu_05748A_ghc_4101_201903071630
13,6,classinsight-cmu_05748A_ghc_4101_201903071630
14,5,classinsight-cmu_05748A_ghc_4101_201903071630
15,7,classinsight-cmu_05748A_ghc_4101_201903071630
16,1,classinsight-cmu_05748A_ghc_4101_201903071630
17,1,classinsight-cmu_05748A_ghc_4101_201903071630
19,8,classinsight-cmu_05748A_ghc_4101_201903071630
