sessionA,sessionB,idA,idB,gt,pred
0205,0214,0205_0,0214_2,1.0,0.0
0205,0214,0205_1,0214_0,1.0,1.0
0205,0214,0205_3,0214_12,1.0,0.0
0205,0214,0205_14,0214_1,1.0,1.0
0205,0214,0205_5,0214_10,1.0,0.0
0205,0214,0205_6,0214_8,1.0,0.0
0205,0214,0205_7,0214_5,1.0,0.0
0205,0214,0205_9,0214_9,1.0,1.0
0205,0214,0205_10,0214_7,1.0,0.0
0205,0214,0205_11,0214_17,1.0,1.0
0205,0214,0205_13,0214_3,1.0,0.0
0205,0214,0205_13,0214_8,1.0,0.0
0205,0214,0205_16,0214_6,1.0,1.0
0205,0214,0205_19,0214_14,1.0,1.0
0205,0214,0205_19,0214_2,1.0,0.0
0205,0214,0205_21,0214_16,1.0,0.0
0205,0228,0205_0,0228_8,1.0,1.0
0205,0228,0205_1,0228_15,1.0,0.0
0205,0228,0205_3,0228_3,1.0,0.0
0205,0228,0205_14,0228_5,1.0,1.0
0205,0228,0205_5,0228_18,1.0,0.0
0205,0228,0205_6,0228_9,1.0,0.0
0205,0228,0205_7,0228_0,1.0,1.0
0205,0228,0205_9,0228_1,1.0,0.0
0205,0228,0205_10,0228_12,1.0,0.0
0205,0228,0205_11,0228_2,1.0,0.0
0205,0228,0205_12,0228_19,1.0,1.0
0205,0228,0205_13,0228_7,1.0,0.0
0205,0228,0205_15,0228_13,1.0,0.0
0205,0228,0205_16,0228_16,1.0,0.0
0205,0228,0205_19,0228_27,1.0,0.0
0205,0307,0205_0,0307_9,1.0,0.0
0205,0307,0205_3,0307_6,1.0,0.0
0205,0307,0205_14,0307_1,1.0,0.0
0205,0307,0205_5,0307_0,1.0,0.0
0205,0307,0205_6,0307_17,1.0,0.0
0205,0307,0205_6,0307_11,1.0,0.0
0205,0307,0205_6,0307_3,1.0,0.0
0205,0307,0205_9,0307_3,1.0,1.0
0205,0307,0205_10,0307_7,1.0,1.0
0205,0307,0205_11,0307_4,1.0,0.0
0205,0307,0205_12,0307_5,1.0,0.0
0205,0307,0205_12,0307_11,1.0,0.0
