StudentID,StudentName,ref,all,type
8,0228_8,1,1,Ground Truth
8,0228_8,1,1,Ground Truth
8,0228_8,1,17,Ground Truth
8,0228_8,1,3,Ground Truth
8,0228_8,1,3,Ground Truth
15,0228_15,1,1,Ground Truth
15,0228_15,1,1,Ground Truth
15,0228_15,1,7,Ground Truth
5,0228_5,13,13,Ground Truth
5,0228_5,13,3,Ground Truth
5,0228_5,13,11,Ground Truth
5,0228_5,13,15,Ground Truth
5,0228_5,13,3,Ground Truth
0,0228_0,11,11,Ground Truth
0,0228_0,11,1,Ground Truth
0,0228_0,11,16,Ground Truth
1,0228_1,14,14,Ground Truth
1,0228_1,14,4,Ground Truth
1,0228_1,14,17,Ground Truth
1,0228_1,14,11,Ground Truth
1,0228_1,14,6,Ground Truth
12,0228_12,4,4,Ground Truth
12,0228_12,4,9,Ground Truth
12,0228_12,4,2,Ground Truth
12,0228_12,4,3,Ground Truth
12,0228_12,4,4,Ground Truth
2,0228_2,7,7,Ground Truth
2,0228_2,7,10,Ground Truth
2,0228_2,7,11,Ground Truth
2,0228_2,7,19,Ground Truth
2,0228_2,7,8,Ground Truth
19,0228_19,6,6,Ground Truth
19,0228_19,6,1,Ground Truth
19,0228_19,6,4,Ground Truth
19,0228_19,6,8,Ground Truth
19,0228_19,6,1,Ground Truth
19,0228_19,6,11,Ground Truth
19,0228_19,6,4,Ground Truth
19,0228_19,6,1,Ground Truth
7,0228_7,4,4,Ground Truth
7,0228_7,4,12,Ground Truth
7,0228_7,4,7,Ground Truth
7,0228_7,4,5,Ground Truth
7,0228_7,4,6,Ground Truth
7,0228_7,4,2,Ground Truth
13,0228_13,7,7,Ground Truth
13,0228_13,7,10,Ground Truth
16,0228_16,5,5,Ground Truth
16,0228_16,5,14,Ground Truth
16,0228_16,5,32,Ground Truth
16,0228_16,5,4,Ground Truth
16,0228_16,5,8,Ground Truth
16,0228_16,5,8,Ground Truth
8,0228_8,1,1,Prediction
8,0228_8,1,1,Prediction
8,0228_8,1,2,Prediction
5,0228_5,13,13,Prediction
5,0228_5,13,3,Prediction
5,0228_5,13,11,Prediction
5,0228_5,13,15,Prediction
0,0228_0,11,11,Prediction
0,0228_0,11,1,Prediction
0,0228_0,11,16,Prediction
0,0228_0,11,17,Prediction
0,0228_0,11,3,Prediction
19,0228_19,6,6,Prediction
19,0228_19,6,1,Prediction
19,0228_19,6,11,Prediction
15,0228_15,1,1,Prediction
15,0228_15,1,7,Prediction
15,0228_15,1,10,Prediction
1,0228_1,14,14,Prediction
1,0228_1,14,17,Prediction
1,0228_1,14,6,Prediction
2,0228_2,7,7,Prediction
2,0228_2,7,11,Prediction
2,0228_2,7,8,Prediction
7,0228_7,4,4,Prediction
7,0228_7,4,7,Prediction
7,0228_7,4,6,Prediction
13,0228_13,7,7,Prediction
13,0228_13,7,14,Prediction
16,0228_16,5,5,Prediction
16,0228_16,5,1,Prediction
12,0228_12,4,4,Prediction
12,0228_12,4,5,Prediction
